,lndem,r-mkt,r-bond,lncpi,lnipsa,lntr
1985-06,-0.382668832,0.1377,0.1277,-0.339945216,-0.240168817,-1.082961812
1985-07,-0.364905609,0.136,0.1305,-0.339945216,-0.279360538,-1.006371441
1985-08,-0.356800937,0.1343,0.1321,-0.338424303,-0.256998663,-1.052134521
1985-09,-0.344857515,0.1311,0.1301,-0.3369057,-0.256998663,-1.055893048
1985-10,-0.348354262,0.1278,0.1274,-0.335389399,-0.261986665,-0.992474453
1985-11,-0.339686587,0.1237,0.123,-0.333875395,-0.254973626,-0.929282827
1985-12,-0.323160955,0.1196,0.1176,-0.333875395,-0.247078438,-0.984673271
1986-01,-0.306833467,0.1164,0.1175,-0.326339564,-0.234206848,-1.03278112
1986-02,-0.285109215,0.114,0.111,-0.321845174,-0.243072314,-1.008283646
1986-03,-0.303448878,0.1121,0.1091,-0.320351522,-0.277289754,-1.158621271
1986-04,-0.292897308,0.112,0.1108,-0.315883905,-0.243072314,-1.213035862
1986-05,-0.280266158,0.1202,0.1174,-0.312916544,-0.269049235,-1.412591719
1986-06,-0.267658171,0.1083,0.1143,-0.307008107,-0.247991163,-1.419867226
1986-07,-0.241265362,0.108,0.1143,-0.307008107,-0.217770862,-1.570440599
1986-08,-0.235678506,0.1417,0.1216,-0.304066928,-0.232407185,-2.054731192
1986-09,-0.227065133,0.1386,0.1184,-0.304066928,-0.227564213,-1.720667649
1986-10,-0.225366127,0.1193,0.1256,-0.301134375,-0.214056739,-1.688479955
1986-11,-0.207779409,0.118,0.1192,-0.302599577,-0.211060139,-1.87382049
1986-12,-0.207766083,0.1197,0.1196,-0.301134375,-0.218834579,-1.725796796
1987-01,-0.198876776,0.1225,0.1213,-0.290937637,-0.229355173,-1.403952313
1987-02,-0.203643073,0.1114,0.1213,-0.286599235,-0.214939804,-1.25270569
1987-03,-0.212880729,0.1054,0.1165,-0.282279574,-0.176464188,-1.072111415
1987-04,-0.221348851,0.1004,0.1144,-0.277978492,-0.203520344,-0.874831781
1987-05,-0.225308598,0.0989,0.108,-0.276548899,-0.180041035,-0.736305465
1987-06,-0.222502587,0.0969,0.1095,-0.27369583,-0.198814945,-0.764311244
1987-07,-0.226709509,0.0963,0.1123,-0.27369583,-0.179188243,-0.727868344
1987-08,-0.22684089,0.0955,0.11,-0.270850878,-0.175444578,-0.716442227
1987-09,-0.236545929,0.0948,0.1071,-0.266598569,-0.187577123,-0.652782659
1987-10,-0.212725513,0.0945,0.1111,-0.265185141,-0.194131583,-0.559996154
1987-11,-0.207163911,0.0948,0.1046,-0.265185141,-0.200729288,-0.468574528
1987-12,-0.197694079,0.0925,0.1035,-0.265185141,-0.180041035,-0.447376027
1988-01,-0.225713143,0.0921,0.1048,-0.252553394,-0.161780628,-0.459159992
1988-02,-0.22993124,0.0922,0.0992,-0.249767877,-0.162618696,-0.454988858
1988-03,-0.233617726,0.0972,0.1002,-0.244220012,-0.18380198,-0.414252597
1988-04,-0.240273333,0.0947,0.0996,-0.237328186,-0.152607935,-0.356312114
1988-05,-0.254117727,0.0947,0.1034,-0.229120206,-0.163625307,-0.318623844
1988-06,-0.246839102,0.0906,0.1029,-0.22368541,-0.149127711,-0.298262204
1988-07,-0.256567867,0.0947,0.1056,-0.22368541,-0.165305245,-0.329556979
1988-08,-0.247628155,0.1,0.1072,-0.222331314,-0.166314565,-0.499827021
1988-09,-0.255030099,0.1048,0.1063,-0.212903634,-0.140069827,-0.524319928
1988-10,-0.247951286,0.1068,0.1063,-0.211564049,-0.13223126,-0.497237428
1988-11,-0.256677261,0.1126,0.1159,-0.210226257,-0.126069012,-0.466107381
1988-12,-0.261152587,0.1155,0.1155,-0.207556028,-0.133044917,-0.454933904
1989-01,-0.277640958,0.1119,0.116,-0.196945849,-0.138431717,-0.409420801
1989-02,-0.263100356,0.1078,0.1174,-0.191682679,-0.14467086,-0.329786924
1989-03,-0.303341992,0.1109,0.1175,-0.18123872,-0.139250437,-0.439997031
1989-04,-0.310633593,0.1211,0.1177,-0.17090271,-0.171714875,-0.465282119
1989-05,-0.310548341,0.1175,0.1182,-0.167054085,-0.152607935,-0.501233688
1989-06,-0.298629087,0.1178,0.1234,-0.158131145,-0.139250437,-0.480338673
1989-07,-0.297421553,0.1179,0.1209,-0.159400986,-0.138579037,-0.4444384
1989-08,-0.29995093,0.1206,0.1191,-0.158131145,-0.102582128,-0.481590779
1989-09,-0.285209881,0.1309,0.122,-0.148030049,-0.134837295,-0.521315484
1989-10,-0.27303897,0.1419,0.1237,-0.143017507,-0.141053982,-0.580766743
1989-11,-0.258408172,0.1477,0.1257,-0.144268289,-0.140069827,-0.666233116
1989-12,-0.240422389,0.1608,0.1291,-0.138029965,-0.149127711,-0.674983349
1990-01,-0.256107959,0.1605,0.1268,-0.124441121,-0.116415806,-0.348622701
1990-02,-0.257287488,0.1601,0.1316,-0.119545151,-0.126554127,-0.349814892
1990-03,-0.252548416,0.1538,0.1316,-0.117106125,-0.130605931,-0.244913834
1990-04,-0.249699751,0.1394,0.1344,-0.111034461,-0.14631923,-0.229602207
1990-05,-0.260604944,0.1277,0.131,-0.106203534,-0.125584132,-0.198461387
1990-06,-0.259418532,0.1252,0.1311,-0.103796794,-0.155600655,-0.199882581
1990-07,-0.25379881,0.1245,0.134,-0.102595592,-0.235288202,-0.137608966
1990-08,-0.253288897,0.1251,0.1324,-0.097805164,-0.148631523,-0.101917437
1990-09,-0.24588201,0.1309,0.1335,-0.093037575,-0.148796891,-0.092662641
1990-10,-0.245333108,0.1441,0.1347,-0.08947674,-0.15078345,-0.040791694
1990-11,-0.238499209,0.1453,0.1311,-0.090662277,-0.155600655,-0.01647033
1990-12,-0.223156132,0.143,0.1354,-0.090662277,-0.188093022,-0.040065595
1991-01,-0.229042387,0.1421,0.128,-0.076527766,-0.167493393,0.001473267
1991-02,-0.230953993,0.1402,0.123,-0.070696845,-0.20772159,-0.059874652
1991-03,-0.253630728,0.1472,0.1221,-0.070696845,-0.221498832,-0.196833569
1991-04,-0.265856074,0.1397,0.1219,-0.066056466,-0.195170436,-0.214701753
1991-05,-0.244882747,0.1198,0.1131,-0.06143752,-0.228459292,-0.495396486
1991-06,-0.251562161,0.1125,0.1104,-0.062590258,-0.302812518,-0.303114557
1991-07,-0.233205824,0.1069,0.1115,-0.062590258,-0.28920817,-0.290874289
1991-08,-0.222731441,0.1109,0.1105773,-0.06143752,-0.250917495,-0.419256313
1991-09,-0.22223178,0.132,0.1101429,-0.060286109,-0.240350039,-0.495883801
1991-10,-0.21813827,0.1438,0.1079864,-0.057987258,-0.268676275,-1.057231232
1991-11,-0.117171814,0.1466,0.1135095,-0.057987258,-0.273723015,-0.697377948
1991-12,-0.109073252,0.1278,0.1206056,-0.053405348,-0.262542427,-0.277112819
1992-01,-0.109407271,0.1226,0.1175667,-0.047707327,-0.271850881,-0.327307425
1992-02,-0.102879777,0.1174,0.111755,-0.045437178,-0.24143806,-0.334637753
1992-03,-0.108091161,0.1238,0.11245,-0.042041589,-0.203171036,-0.373575631
1992-04,-0.111748932,0.1421,0.118615,-0.038657492,-0.235468541,-0.575104506
1992-05,-0.114093738,0.1373,0.1181842,-0.038657492,-0.235468541,-0.385642557
1992-06,-0.111488795,0.137,0.1219476,-0.036407772,-0.218657214,-0.364207358
1992-07,-0.103682178,0.1396,0.1210652,-0.037531999,-0.294168592,-0.328961586
1992-08,-0.098023132,0.1509,0.1291952,-0.038657492,-0.214763128,-0.621665751
1992-09,0.053378778,0.1641,0.1352773,-0.035284807,-0.239444258,-0.602409057
1992-10,0.035035416,0.1337,0.1298545,-0.031923459,-0.231867918,-0.416522399
1992-11,0.056030088,0.115,0.1204429,-0.029688822,-0.208423516,-0.362073154
1992-12,0.066518857,0.1068,0.109881,-0.031923459,-0.21794807,-0.655165953
1993-01,0.124982562,0.1064,0.109215789,-0.021906681,-0.232047641,-0.613356923
1993-02,0.174933803,0.0919,0.10267,-0.019694291,-0.207546185,-0.809073061
1993-03,0.179097591,0.089,0.098747826,-0.017486784,-0.201426322,-0.843314425
1993-04,0.124864209,0.0873,0.097665,-0.014184635,-0.197251386,-0.512312704
1993-05,0.107157637,0.0825,0.094605,-0.013086337,-0.205968925,-0.51334083
