,lndem,r-mkt,lncpi,lnipsa,lntr
1986-02,-0.453224456,0.1622,-0.803714605,-0.367310618,-2.496536082
1986-03,-0.461512136,0.1422,-0.791589593,-0.343696788,-2.59507996
1986-04,-0.443966172,0.1533,-0.779585182,-0.318986284,-2.58008788
1986-05,-0.446670928,0.1533,-0.782993266,-0.349536646,-2.620964695
1986-06,-0.426682572,0.1439,-0.781287773,-0.334841383,-2.563456475
1986-07,-0.396903081,0.136,-0.781287773,-0.322990173,-2.422718666
1986-08,-0.378064313,0.1338,-0.771115445,-0.298750775,-2.185164546
1986-09,-0.363383836,0.1327,-0.76772317,-0.290848126,-2.061217561
1986-10,-0.354689968,0.1398,-0.761021351,-0.300871666,-2.062571503
1986-11,-0.335423886,0.1458,-0.752682748,-0.290688679,-2.187163749
1986-12,-0.325293412,0.1307,-0.734607244,-0.29340274,-2.387228771
1987-01,-0.296692696,0.128,-0.723287297,-0.323214746,-2.347179681
1987-02,-0.297799987,0.1459,-0.712071014,-0.285599757,-2.311864549
1987-03,-0.296850733,0.136,-0.699407834,-0.31148493,-2.360360877
1987-04,-0.29580819,0.1488,-0.693147181,-0.282417907,-2.475661251
1987-05,-0.292404145,0.1488,-0.693147181,-0.275456125,-2.303822443
1987-06,-0.286598518,0.1315,-0.696272608,-0.275627439,-2.237985849
1987-07,-0.285893338,0.1358,-0.693147181,-0.249251169,-1.960434587
1987-08,-0.280725494,0.1394,-0.682262107,-0.30421571,-1.663534051
1987-09,-0.280484983,0.1366,-0.679180097,-0.275427576,-1.625080022
1987-10,-0.261280808,0.1316,-0.666924145,-0.284677274,-1.532033463
1987-11,-0.247231017,0.133,-0.663888974,-0.276484447,-1.532664293
1987-12,-0.238462838,0.1277,-0.648828153,-0.243358645,-1.561207012
1988-01,-0.243149044,0.1207,-0.641371222,-0.237761795,-1.109772688
1988-02,-0.241242975,0.1238,-0.62664329,-0.24288874,-1.145045783
1988-03,-0.236456216,0.1245,-0.620820734,-0.289790454,-1.232690199
1988-04,-0.241895388,0.1233,-0.616475959,-0.252287214,-1.243421933
1988-05,-0.248701272,0.1237,-0.613589893,-0.226117547,-1.221344587
1988-06,-0.245883006,0.1234,-0.607821868,-0.254926862,-1.32651158
1988-07,-0.255539783,0.12361,-0.600684079,-0.23937147,-1.359660582
1988-08,-0.239183069,0.12292,-0.586539224,-0.243884095,-1.26369563
1988-09,-0.238127557,0.12237,-0.575361632,-0.260325572,-1.247020534
1988-10,-0.22917217,0.12251,-0.565680201,-0.226742777,-1.132865254
1988-11,-0.229693103,0.12375,-0.550664608,-0.231485481,-1.220634396
1988-12,-0.237248502,0.12246,-0.538541121,-0.224556182,-1.128696077
1989-01,-0.243931867,0.12159,-0.525242873,-0.218105812,-1.095038893
1989-02,-0.232414303,0.1229,-0.512119151,-0.232032063,-1.051699493
1989-03,-0.23489861,0.12375,-0.503047048,-0.188686261,-1.064284837
1989-04,-0.230865099,0.12472,-0.492760212,-0.197018986,-1.007216244
1989-05,-0.227907231,0.14875,-0.491484076,-0.179760597,-0.996435048
1989-06,-0.219257127,0.12487,-0.485109347,-0.173037709,-0.924060538
1989-07,-0.209955732,0.12288,-0.475004467,-0.192200143,-0.81271887
1989-08,-0.220849386,0.12246,-0.457576363,-0.16561762,-0.687766135
