,lndem,r-mkt,lncpi,lnipsa,lntr
1986-02,-0.484727133,0.1671,-0.498757903,-0.23025165,-0.855529109
1986-03,-0.482878943,0.1739,-0.493731627,-0.21973907,-0.84645116
1986-04,-0.476458868,0.155,-0.492465438,-0.215825171,-0.703673639
1986-05,-0.478207318,0.1347,-0.487470612,-0.24087592,-0.614275585
1986-06,-0.47534517,0.1251,-0.484973552,-0.221047114,-0.563603088
1986-07,-0.475340461,0.1231,-0.484973552,-0.20804303,-0.520727873
1986-08,-0.471816675,0.1195,-0.482482712,-0.205462383,-0.536005509
1986-09,-0.470518228,0.1168,-0.479998061,-0.215825171,-0.596291404
1986-10,-0.470734753,0.1132,-0.475047204,-0.215825171,-0.565936376
1986-11,-0.466969515,0.1127,-0.470138414,-0.218432734,-0.559519102
1986-12,-0.457269365,0.1151,-0.466468167,-0.191386655,-0.557540882
1987-01,-0.439412752,0.1207,-0.46158368,-0.23687858,-0.493658308
1987-02,-0.440635688,0.1219,-0.455520143,-0.206751874,-0.378143799
1987-03,-0.438663513,0.1171,-0.45310151,-0.193931186,-0.32987268
1987-04,-0.434659533,0.1086,-0.449493151,-0.175003176,-0.298556019
1987-05,-0.426618966,0.1049,-0.444690682,-0.170015634,-0.37115582
1987-06,-0.422087989,0.1103,-0.441112491,-0.185053512,-0.429013307
1987-07,-0.422710499,0.1095,-0.438728414,-0.193931186,-0.490359475
1987-08,-0.423283981,0.1152,-0.435171456,-0.196482208,-0.633484789
1987-09,-0.426867595,0.1212,-0.429265508,-0.188848583,-0.486749809
1987-10,-0.408109003,0.1203,-0.421051979,-0.163815987,-0.356821065
1987-11,-0.40251677,0.1168,-0.417557235,-0.167531161,-0.204344202
1987-12,-0.402280767,0.1143,-0.41638386,-0.182531442,-0.144344106
1988-01,-0.405656432,0.107,-0.410587517,-0.135782463,-0.13228675
1988-02,-0.405432719,0.1105,-0.405984459,-0.149091794,-0.127341509
1988-03,-0.39893949,0.1137,-0.40138599,-0.135782463,-0.159528226
1988-04,-0.395393744,0.1076,-0.39909466,-0.141810209,-0.228917946
1988-05,-0.399713044,0.1084,-0.395675685,-0.136985109,-0.262851418
1988-06,-0.398307517,0.1114,-0.392268359,-0.127404197,-0.254520897
1988-07,-0.405361797,0.1128,-0.391124269,-0.129790833,-0.170509661
1988-08,-0.398032458,0.1127,-0.386609736,-0.14302013,-0.135283387
1988-09,-0.39480097,0.1152,-0.380982953,-0.116734268,-0.183380415
1988-10,-0.395440022,0.1156,-0.374262703,-0.121462409,-0.084010592
1988-11,-0.401334763,0.1173,-0.367603269,-0.105010804,-0.020708521
1988-12,-0.410289069,0.1222,-0.363177567,-0.084248813,-0.005452438
1989-01,-0.413554955,0.121,-0.356591305,-0.098042135,0.011108361
1989-02,-0.404685953,0.1251,-0.34895132,-0.095729995,0.042638874
1989-03,-0.410307244,0.1314,-0.342442232,-0.10968371,0.076666336
1989-04,-0.411984929,0.1246,-0.338141751,-0.102682514,0.122527832
