,lndem,r-mkt,lncpi,lnipsa,lntr
1986-02,-0.293440776,0.10542,-0.51697822,-0.167485538,-1.017383147
1986-03,-0.285634715,0.11255,-0.513672121,-0.14804048,-1.045007618
1986-04,-0.286151816,0.12202,-0.511162286,-0.153557736,-1.043524549
1986-05,-0.283551922,0.1204,-0.508472154,-0.188747855,-1.039154071
1986-06,-0.282469335,0.12033,-0.499279633,-0.128966333,-1.030413121
1986-07,-0.270871806,0.12262,-0.489420087,-0.166083996,-0.930734105
1986-08,-0.256296711,0.12348,-0.486586939,-0.178769155,-0.844506342
1986-09,-0.250552511,0.1158,-0.476290955,-0.160497389,-0.820822393
1986-10,-0.233827571,0.1168,-0.472576361,-0.14804048,-0.812357942
1986-11,-0.224877966,0.11694,-0.474792638,-0.153557736,-0.864901023
1986-12,-0.216370533,0.11757,-0.470526627,-0.138457929,-0.848976326
1987-01,-0.173397926,0.12209,-0.462957544,-0.175936292,-0.817920665
1987-02,-0.183362588,0.12472,-0.458741618,-0.122241358,-0.799761845
1987-03,-0.185116304,0.14425,-0.45290079,-0.128966333,-0.79694624
1987-04,-0.18817069,0.17321,-0.450538765,-0.126270913,-0.7219471
1987-05,-0.194342098,0.20181,-0.451807219,-0.106283572,-0.632198174
1987-06,-0.201142482,0.18122,-0.451630949,-0.107603705,-0.54955349
1987-07,-0.220210688,0.18094,-0.441512405,-0.072557938,-0.352309912
1987-08,-0.23203535,0.17684,-0.44205344,-0.134379066,-0.292684171
1987-09,-0.244343832,0.17452,-0.432722437,-0.097091124,-0.233524198
1987-10,-0.240861206,0.16223,-0.42685924,-0.1023336,-0.207463161
1987-11,-0.227764977,0.14596,-0.429165927,-0.097091124,-0.167867153
1987-12,-0.206066685,0.13999,-0.42562202,-0.104965181,-0.117278596
1988-01,-0.220669018,0.13196,-0.419271053,-0.122241358,-0.114471864
1988-02,-0.227719719,0.12128,-0.416459406,-0.098399169,-0.097238673
1988-03,-0.231978551,0.114,-0.40928727,-0.058624843,-0.069225919
1988-04,-0.247511555,0.1101,-0.412773658,-0.101020402,-0.037950475
1988-05,-0.248672572,0.1081,-0.412773658,-0.084103929,-0.01971755
1988-06,-0.238435603,0.1047,-0.408932543,-0.090576443,-0.015995009
1988-07,-0.251506178,0.1045,-0.395795322,-0.075112217,-0.017578569
1988-08,-0.247150734,0.1039,-0.386042059,-0.081526608,0.000898538
1988-09,-0.248030835,0.1058,-0.377233457,-0.084103929,-0.016045102
1988-10,-0.247118204,0.1131,-0.37621954,-0.076391808,0.035124717
1988-11,-0.260993175,0.1136,-0.37672637,-0.057367772,0.056543948
1988-12,-0.284458608,0.124,-0.368826212,-0.062405566,0.072377982
1989-01,-0.313753508,0.1235,-0.35717998,-0.046124681,0.071843765
1989-02,-0.301820736,0.1347,-0.356522681,-0.046124681,0.059676787
1989-03,-0.307711091,0.1389,-0.350100729,-0.017953804,0.044246485
1989-04,-0.311509369,0.1391,-0.347476744,-0.041168041,0.10282141
1989-05,-0.280418005,0.1397,-0.346000799,-0.038698904,0.104254206
1989-06,-0.285224757,0.1442,-0.340623337,-0.030104621,0.133388567
1989-07,-0.299045176,0.1511,-0.324491558,-0.020372184,0.202731917
1989-08,-0.303141795,0.151,-0.322243512,-0.03993271,0.177680773
1989-09,-0.285512498,0.1498,-0.311767857,-0.021583572,0.212859153
1989-10,-0.287162308,0.1483,-0.307653915,-0.032552603,0.178447648
1989-11,-0.275817716,0.1518,-0.306083158,-0.030104621,0.182012196
1989-12,-0.270427816,0.1549,-0.302174616,-0.028882874,0.184373483
1990-01,-0.270485405,0.1506,-0.292507159,-0.025226563,0.176667888
1990-02,-0.275652775,0.1506,-0.286168492,-0.051106011,0.178901186
1990-03,-0.279091252,0.1478,-0.282485686,-0.041168041,0.173193951
1990-04,-0.293389892,0.1458,-0.28018152,-0.027662618,0.186726802
1990-05,-0.309295201,0.1466,-0.280344867,-0.037466618,0.205410916
1990-06,-0.322288077,0.1474,-0.277275447,-0.011933316,0.221496262
1990-07,-0.317862048,0.1471,-0.263936327,-0.042404899,0.317185974
1990-08,-0.306804673,0.1464,-0.259577688,-0.054858361,0.326683184
1990-09,-0.301661408,0.1465,-0.248986545,-0.021583572,0.338380148
1990-10,-0.300500566,0.1461,-0.240259748,-0.062405566,0.372418136
1990-11,-0.290870647,0.147,-0.241301809,-0.030104621,0.390632335
1990-12,-0.26671599,0.1491,-0.238791288,-0.035006592,0.395757907
1991-01,-0.304021988,0.1459,-0.227261415,-0.033778845,0.428510073
1991-02,-0.307035294,0.1456,-0.228557902,-0.04985835,0.430116462
1991-03,-0.316285614,0.1408,-0.225376056,-0.085395084,0.402793717
1991-04,-0.316660157,0.1358,-0.223199654,-0.013134517,0.458199054
1991-05,-0.313150311,0.1317,-0.220314457,-0.06366899,0.52542407
1991-06,-0.301563912,0.1266,-0.217423616,-0.032552603,0.509119079
1991-07,-0.301220608,0.1272,-0.20514383,-0.057367772,0.550900858
1991-08,-0.306900234,0.1264,-0.201445189,-0.059883497,0.564356083
1991-09,-0.290883679,0.1259,-0.193271613,-0.035006592,0.585415677
1991-10,-0.294892405,0.1258,-0.186975286,-0.028882874,0.575954988
1991-11,-0.286945269,0.1261,-0.185447897,-0.032552603,0.60614213
1991-12,-0.283558275,0.1264,-0.185029287,-0.022796428,0.646435759
1992-01,-0.297285104,0.1272,-0.169277133,-0.041168041,0.618639847
1992-02,-0.298465105,0.1259,-0.162588233,-0.037466618,0.62515114
1992-03,-0.292750099,0.1237,-0.158925032,-0.058624843,0.645774671
1992-04,-0.300016654,0.1212,-0.16000415,-0.04985835,0.660380411
1992-05,-0.307483603,0.1242,-0.157426727,-0.073834262,0.685054497
1992-06,-0.293927711,0.1238,-0.157702562,-0.078955912,0.737249392
1992-07,-0.283563603,0.1266,-0.154318997,-0.086687909,0.715567581
1992-08,-0.265855312,0.1301,-0.145312804,-0.094480157,0.714316334
1992-09,-0.186739883,0.1303,-0.13705593,-0.1023336,0.491139423
1992-10,-0.175369607,0.1341,-0.136528466,-0.106283572,0.41698231
1992-11,-0.161189947,0.1427,-0.135859888,-0.126270913,0.210338705
1992-12,-0.176088337,0.151,-0.132818363,-0.138457929,0.277271392
1993-01,-0.172076674,0.1436,-0.123482275,-0.12358274,0.371870489
1993-02,-0.163366907,0.1477,-0.123215718,-0.143922424,0.31132596
1993-03,-0.170331048,0.1567,-0.119693696,-0.141186444,0.258439597
1993-04,-0.146197957,0.1425,-0.115390388,-0.152175566,0.173961836
1993-05,-0.064321557,0.1362,-0.112548513,-0.124925923,0.178695058
1993-06,-0.103023296,0.1164,-0.1100904,-0.142553498,0.188181306
1993-07,-0.021675588,0.1238,-0.106476925,-0.133023133,0.197628388
1993-08,-0.052765342,0.1074,-0.100578451,-0.149416943,0.180197607
1993-09,-0.04566607,0.1019,-0.094961293,-0.122241358,0.18536896
1993-10,-0.054521839,0.1069,-0.091143836,-0.118227974,0.178488887
1993-11,-0.033071683,0.0959,-0.08949821,-0.11290173,0.174775395
1993-12,-0.027674659,0.1002,-0.084833971,-0.097091124,0.17413727
1994-01,-0.046566825,0.09,-0.074687275,-0.108925582,0.180940777
1994-02,-0.038523044,0.088,-0.074312546,-0.082814438,0.188580024
1994-03,-0.030267594,0.0817,-0.071078796,-0.07128324,0.188947375
1994-04,-0.039942421,0.0795,-0.067111253,-0.070010166,0.188560812
1994-05,-0.026760016,0.0763,-0.065133368,-0.081526608,0.178724161
1994-06,-0.02896779,0.0752,-0.064020282,-0.059883497,0.188229353
1994-07,-0.029986535,0.0756,-0.06008059,-0.051106011,0.186851901
1994-08,-0.02139523,0.0746,-0.053714471,-0.04364329,0.190772528
1994-09,-0.021865752,0.0736,-0.050664571,-0.046124681,0.193928097
1994-10,-0.017616011,0.0742,-0.048471561,-0.041168041,0.206553158
1994-11,-0.015079586,0.0741,-0.046777045,-0.024010757,0.187861737
1994-12,0.004333325,0.0747,-0.042295731,0.015303418,0.186274393
1995-01,0.029073013,0.0802,-0.031966973,0.010619569,0.187207864
1995-02,0.036868832,0.0805,-0.027090155,-0.010733556,0.127177335
1995-03,0.079361787,0.0865,-0.021273779,-0.004756252,0.011695871
1995-04,0.050803408,0.0857,-0.015969758,-0.004756252,-0.044914258
1995-05,0.026102486,0.0871,-0.015616395,0.003552402,-0.032627447
1995-06,0.035057293,0.094,-0.014682294,-0.003565066,-0.030870348
1995-07,0.014195544,0.0944,-0.014568439,-0.017953804,-0.019188288
1995-08,0.00803178,0.0947,-0.011748974,-0.011933316,-0.034738848
1995-09,0.026799779,0.0934,-0.007783368,-0.010733556,-0.016239604
1995-10,0.021766578,0.093,-0.005919308,-0.025226563,-0.010969031
1995-11,0.007689173,0.0944,-0.003236649,-0.014337163,-0.011098039
1995-12,0,0.0941,0,0,0
1996-01,-0.004638706,0.0902,0.00611869,-0.032552603,0.024454234
1996-02,-0.001946985,0.0903,0.008758169,-0.020372184,0.102606837
1996-03,-0.00687478,0.0851,0.012311004,-0.024010757,0.191816715
1996-04,-0.019577216,0.0782,0.018002477,-0.030104621,0.288994825
1996-05,-0.006966542,0.0766,0.021412858,-0.021583572,0.354254735
1996-06,-0.005358826,0.0731,0.020610815,-0.015541257,0.365792309
1996-07,0.007518919,0.0739,0.021972809,-0.024010757,0.402559145
